t,x,y,z,a,
5.19E+13,-13.40753,-4.4484267,1.7405846,3,acc
5.19E+13,0.007182605,-0.15322891,0.5386954,3,acc
5.19E+13,0.035913024,-0.5626374,0.40701428,3,acc
5.19E+13,0.17717093,-0.60094464,0.272939,3,acc
5.19E+13,0.18435353,-0.58657944,0.02633622,3,acc
5.19E+13,0.15322891,-0.2633622,-0.033518825,3,acc
5.19E+13,0.11492168,-0.2633622,-0.05746084,3,acc
5.19E+13,0.1604115,-0.29448682,0.062249243,3,acc
5.19E+13,0.14844051,-0.12210429,0.16519992,3,acc
5.19E+13,0.06464344,0.17956513,0.17717093,3,acc
5.19E+13,-0.035913024,0.23223756,0.21308395,3,acc
5.19E+13,0.007182605,0.22744916,0.17717093,3,acc
5.19E+13,-0.02633622,0.30166942,0.02873042,3,acc
5.19E+13,-0.035913024,0.29209262,0.04309563,3,acc
5.19E+13,0.06464344,0.074220255,0.04309563,3,acc
5.19E+13,0.062249243,0.062249243,0.12449849,3,acc
5.19E+13,0.08379706,0.021547815,-0.002394202,3,acc
5.19E+13,0.004788403,0.045489833,-0.033518825,3,acc
5.19E+13,0.01436521,-0.12689269,0.17238252,3,acc
5.19E+13,0.11731588,-0.08140286,0.12210429,3,acc
5.19E+13,-0.031124622,0.08619126,0.12928689,3,acc
5.19E+13,0.045489833,-0.074220255,0.10055647,3,acc
5.19E+13,-0.007182605,0.050278235,0.07182605,3,acc
5.19E+13,-0.05746084,0.10055647,0.08619126,3,acc
5.19E+13,0.009576807,-0.009576807,0.11971009,3,acc
5.19E+13,0.033518825,0.076614454,0.10295067,3,acc
5.19E+13,-0.021547815,-0.019153614,0.055066638,3,acc
5.19E+13,0.055066638,0.045489833,0.05746084,3,acc
5.19E+13,0.01436521,0.038307227,0.1436521,3,acc
5.19E+13,0.023942016,0.059855044,0.12689269,3,acc
5.19E+13,0.06464344,-0.038307227,0.107739076,3,acc
5.19E+13,0.035913024,0.06943185,0.050278235,3,acc
5.19E+13,0.009576807,0.06703765,0.11252748,3,acc
5.19E+13,0.04309563,-0.055066638,0.06464344,3,acc
5.19E+13,0.007182605,0.095768064,0.06943185,3,acc
5.19E+13,-0.002394202,0.06464344,0.07182605,3,acc
5.19E+13,0.007182605,0.021547815,0.10534488,3,acc
5.19E+13,0.05267244,-0.035913024,0.1340753,3,acc
5.19E+13,-0.009576807,0.045489833,0.11731588,3,acc
5.19E+13,-0.019153614,0.01436521,0.12449849,3,acc
5.19E+13,0.047884032,0.074220255,-0.021547815,3,acc
5.19E+13,-0.002394202,0.011971008,0.076614454,3,acc
5.19E+13,0.038307227,-0.059855044,0.110133275,3,acc
5.19E+13,0.016759412,0.004788403,0.07182605,3,acc
5.19E+13,-0.004788403,0.04309563,0.10055647,3,acc
5.19E+13,0.038307227,0.009576807,0.09816227,3,acc
5.19E+13,0.059855044,0,0.11731588,3,acc
5.19E+13,0.011971008,0.107739076,0.06464344,3,acc
5.19E+13,-0.038307227,0.055066638,0.035913024,3,acc
5.19E+13,-0.004788403,0.021547815,0.08619126,3,acc
5.19E+13,0.033518825,0.023942016,0.11971009,3,acc
5.19E+13,-0.038307227,0.04309563,0.10295067,3,acc
5.19E+13,0.011971008,0.023942016,0.1364695,3,acc
5.19E+13,-0.031124622,-0.01436521,0.10534488,3,acc
5.19E+13,0.05267244,-0.038307227,0.090979666,3,acc
5.19E+13,0.088585466,-0.033518825,0.074220255,3,acc
5.19E+13,-0.035913024,0.090979666,0.06703765,3,acc
5.19E+13,0.031124622,0.05267244,0.06943185,3,acc
5.19E+13,-0.009576807,0.031124622,0.090979666,3,acc
5.19E+13,0.011971008,0.12689269,0.1316811,3,acc
5.19E+13,0.011971008,0,0.07182605,3,acc
5.19E+13,0.023942016,0.02873042,0.1604115,3,acc
5.19E+13,-0.002394202,0.047884032,0.11971009,3,acc
5.19E+13,0.02633622,0.01436521,0.06703765,3,acc
5.19E+13,-0.02633622,-0.02633622,0.035913024,3,acc
5.19E+13,0.05267244,0.016759412,0.11252748,3,acc
5.19E+13,0.047884032,-0.016759412,0.107739076,3,acc
5.19E+13,0.033518825,0.045489833,0.08619126,3,acc
5.19E+13,0.01436521,0.08140286,0.07182605,3,acc
5.19E+13,-0.062249243,-0.007182605,0.07182605,3,acc
5.19E+13,0.016759412,-0.10295067,0.02633622,3,acc
5.19E+13,-0.01436521,0,0.10055647,3,acc
5.19E+13,-0.009576807,0.019153614,0.08379706,3,acc
5.19E+13,0.059855044,0.009576807,0.12449849,3,acc
5.19E+13,0.02633622,-0.007182605,0.055066638,3,acc
5.19E+13,0.019153614,-0.04070143,0.07182605,3,acc
5.19E+13,0.038307227,-0.050278235,0.076614454,3,acc
5.19E+13,0.038307227,-0.04309563,0.08140286,3,acc
5.19E+13,-0.004788403,0.023942016,0.050278235,3,acc
5.19E+13,-0.002394202,0,0.08140286,3,acc
5.19E+13,0.004788403,-0.007182605,0.088585466,3,acc
5.19E+13,-0.002394202,0.04309563,0.04309563,3,acc
5.19E+13,0.021547815,0.02873042,0.1364695,3,acc
5.19E+13,0.01436521,-0.08140286,0.08379706,3,acc
5.19E+13,-0.033518825,0.019153614,0.08619126,3,acc
5.19E+13,-0.021547815,0.004788403,0.12689269,3,acc
5.19E+13,-0.004788403,-0.011971008,0.09816227,3,acc
5.19E+13,0.050278235,0.055066638,0.12928689,3,acc
5.19E+13,0.023942016,0.023942016,0.11971009,3,acc
5.19E+13,-0.016759412,0,0.050278235,3,acc
5.19E+13,-0.02633622,-0.06943185,0.079008654,3,acc
5.19E+13,-0.019153614,-0.08379706,0.11492168,3,acc
5.19E+13,0.007182605,0.04070143,0.11252748,3,acc
5.19E+13,0.01436521,-0.021547815,0.079008654,3,acc
5.19E+13,0.031124622,0.004788403,0.1316811,3,acc
5.19E+13,0.055066638,0.07182605,0.06464344,3,acc
5.19E+13,0.059855044,0.16519992,0.059855044,3,acc
5.19E+13,-0.02633622,0.095768064,0.095768064,3,acc
5.19E+13,-0.038307227,-0.033518825,0.05267244,3,acc
5.19E+13,0,-0.090979666,-0.002394202,3,acc
5.19E+13,0.050278235,-0.023942016,0.04070143,3,acc
5.19E+13,-0.06703765,0.004788403,0.12928689,3,acc
5.19E+13,0.01436521,-0.090979666,0.15083471,3,acc
5.19E+13,0.074220255,-0.02633622,0.06703765,3,acc
5.19E+13,0.06464344,0.08379706,0.08379706,3,acc
5.19E+13,0.02873042,0.059855044,0.016759412,3,acc
5.19E+13,0.002394202,-0.062249243,0.10055647,3,acc
5.19E+13,-0.021547815,0.033518825,0.045489833,3,acc
5.19E+13,-0.038307227,-0.050278235,0.1340753,3,acc
5.19E+13,0.031124622,0.02633622,0.12210429,3,acc
5.19E+13,0.033518825,0,0.10055647,3,acc
5.19E+13,0.016759412,-0.045489833,0.02873042,3,acc
5.19E+13,0,-0.002394202,0.05746084,3,acc
5.19E+13,0.021547815,-0.05267244,0.08140286,3,acc
5.19E+13,-0.023942016,0,0.055066638,3,acc
5.19E+13,-0.004788403,0.047884032,0.11492168,3,acc
5.19E+13,0.021547815,-0.016759412,0.095768064,3,acc
5.19E+13,-0.011971008,-0.02633622,0.023942016,3,acc
5.19E+13,-0.05746084,-0.031124622,0.076614454,3,acc
5.19E+13,-0.01436521,0.004788403,0.08619126,3,acc
5.19E+13,0.02633622,-0.031124622,0.07182605,3,acc
5.19E+13,-0.038307227,-0.06703765,0.12210429,3,acc
5.19E+13,-0.02633622,0.033518825,0.12689269,3,acc
5.19E+13,0.04309563,0.016759412,0.009576807,3,acc
5.19E+13,0.031124622,0.08619126,0.047884032,3,acc
5.19E+13,0.04070143,0.1364695,0.074220255,3,acc
5.19E+13,-0.076614454,0.07182605,0.074220255,3,acc
5.19E+13,-0.088585466,0.011971008,0.074220255,3,acc
5.19E+13,-0.004788403,-0.08140286,0.12449849,3,acc
5.19E+13,0.090979666,-0.023942016,0.11252748,3,acc
5.19E+13,0.04070143,-0.031124622,0.12449849,3,acc
5.19E+13,0.059855044,0.045489833,0.11731588,3,acc
5.19E+13,-0.002394202,0.023942016,0.14604631,3,acc
5.19E+13,0,0.062249243,0.021547815,3,acc
5.19E+13,0.05746084,0.007182605,-0.021547815,3,acc
5.19E+13,0.019153614,-0.033518825,0.079008654,3,acc
5.19E+13,-0.01436521,0.06464344,0.090979666,3,acc
5.19E+13,-0.035913024,0.016759412,0.035913024,3,acc
5.19E+13,0.021547815,-0.055066638,0.10295067,3,acc
5.19E+13,0.004788403,0.002394202,0.074220255,3,acc
5.19E+13,0.038307227,-0.050278235,0.059855044,3,acc
5.19E+13,0.04070143,0.06464344,0.08619126,3,acc
5.19E+13,-0.011971008,0.04309563,0.10534488,3,acc
5.19E+13,-0.021547815,0.10534488,0.06943185,3,acc
5.19E+13,0.009576807,-0.016759412,0.10534488,3,acc
5.19E+13,0.011971008,0.045489833,0.09816227,3,acc
5.19E+13,0,-0.06464344,0.090979666,3,acc
5.19E+13,-0.004788403,0.007182605,0.11731588,3,acc
5.19E+13,0.016759412,-0.033518825,0.11492168,3,acc
5.20E+13,-0.033518825,0.031124622,0.02633622,3,acc
5.20E+13,-0.016759412,0.07182605,0.12210429,3,acc
5.20E+13,0.045489833,-0.031124622,0.11971009,3,acc
5.20E+13,0.045489833,0.050278235,0.1340753,3,acc
5.20E+13,0.06703765,0.110133275,0.17717093,3,acc
5.20E+13,0.019153614,0.095768064,0,3,acc
5.20E+13,-0.062249243,0.10534488,-0.047884032,3,acc
5.20E+13,0,-0.16998832,0.18195933,3,acc
5.20E+13,0.033518825,-0.16998832,0.2825158,3,acc
5.20E+13,0.08379706,-0.37110126,0.5626374,3,acc
5.20E+13,0.20829555,-0.20590134,0.45250413,3,acc
5.20E+13,-0.06703765,0.21547815,0.1436521,3,acc
5.19E+13,1.3383588,-0.09816227,10.127473,3,acg
5.19E+13,1.3575124,-0.2801216,10.206482,3,acg
5.19E+13,1.3335704,-0.6847417,10.242394,3,acg
5.19E+13,1.4030021,-1.0726024,10.043676,3,acg
5.19E+13,1.376666,-1.2330139,9.825804,3,acg
