t,x,y,z,a,
5.25E+13,-5.959168,-8.76996,-4.7429137,3,acc
5.25E+13,0.10055647,0.062249243,0.074220255,3,acc
5.25E+13,0.062249243,-0.01436521,0.088585466,3,acc
5.25E+13,-0.031124622,-0.055066638,0.050278235,3,acc
5.25E+13,-0.07182605,-0.031124622,0.04070143,3,acc
5.25E+13,0.12210429,0.021547815,0.074220255,3,acc
5.25E+13,0.08140286,0.002394202,0.059855044,3,acc
5.25E+13,0.016759412,0.10295067,0.062249243,3,acc
5.25E+13,-0.016759412,0.019153614,0.07182605,3,acc
5.25E+13,-0.045489833,0.05267244,0.074220255,3,acc
5.25E+13,-0.055066638,0.10534488,0.059855044,3,acc
5.25E+13,-0.19871874,0.019153614,0.021547815,3,acc
5.25E+13,-0.15562311,0.12210429,0.023942016,3,acc
5.25E+13,-0.074220255,0.22744916,-0.021547815,3,acc
5.25E+13,-0.04309563,0.17477672,-0.059855044,3,acc
5.25E+13,-0.01436521,0.18914193,-0.110133275,3,acc
5.25E+13,0.10295067,0.23702596,-0.038307227,3,acc
5.25E+13,0.17238252,0.16759412,-0.062249243,3,acc
5.25E+13,0.1340753,0.14604631,-0.10055647,3,acc
5.25E+13,0.12689269,0.12210429,-0.076614454,3,acc
5.25E+13,0.1436521,0.15083471,-0.17238252,3,acc
5.25E+13,0.095768064,0.14844051,-0.15562311,3,acc
5.25E+13,0.047884032,0.08379706,-0.17477672,3,acc
5.25E+13,0.06464344,0.10055647,-0.1604115,3,acc
5.25E+13,0.10055647,0.031124622,-0.14844051,3,acc
5.25E+13,0.04309563,0.047884032,-0.15322891,3,acc
5.25E+13,0.20350714,-0.033518825,-0.14844051,3,acc
5.25E+13,0.15801731,-0.095768064,-0.15562311,3,acc
5.25E+13,0.15801731,-0.12449849,-0.11971009,3,acc
5.25E+13,0.16998832,-0.10295067,-0.1412579,3,acc
5.25E+13,0.050278235,-0.05267244,-0.10055647,3,acc
5.25E+13,0.023942016,-0.107739076,-0.16280572,3,acc
5.25E+13,0,-0.076614454,-0.074220255,3,acc
5.25E+13,0.11252748,-0.10534488,-0.059855044,3,acc
5.25E+13,0.15322891,-0.04070143,-0.01436521,3,acc
5.25E+13,0.1340753,-0.10534488,0.016759412,3,acc
5.25E+13,0.11731588,-0.08140286,-0.004788403,3,acc
5.25E+13,0.11731588,0.002394202,0.004788403,3,acc
5.25E+13,0,-0.033518825,-0.002394202,3,acc
5.25E+13,0.06703765,0,-0.033518825,3,acc
5.25E+13,0.045489833,-0.009576807,0.04309563,3,acc
5.25E+13,0.1412579,0.011971008,0.019153614,3,acc
5.25E+13,0.079008654,-0.10534488,0.021547815,3,acc
5.25E+13,-0.033518825,-0.038307227,0.038307227,3,acc
5.25E+13,0.031124622,-0.02633622,0.02633622,3,acc
5.25E+13,0.1412579,-0.007182605,0.07182605,3,acc
5.25E+13,0.1436521,-0.076614454,-0.02873042,3,acc
5.25E+13,0.11971009,0.035913024,0.016759412,3,acc
5.25E+13,0.1388637,-0.050278235,0.02873042,3,acc
5.25E+13,0.093373865,-0.009576807,0.04070143,3,acc
5.25E+13,0.05267244,-0.06703765,0.004788403,3,acc
5.25E+13,0.06464344,-0.02633622,0.050278235,3,acc
5.25E+13,0.062249243,-0.045489833,0.004788403,3,acc
5.25E+13,0.1388637,-0.019153614,0.076614454,3,acc
5.25E+13,0.16519992,-0.10534488,0.033518825,3,acc
5.25E+13,0.095768064,-0.035913024,0.06464344,3,acc
5.25E+13,0.11731588,-0.01436521,0.050278235,3,acc
5.25E+13,0.15562311,-0.01436521,0.004788403,3,acc
5.25E+13,0.093373865,-0.04070143,-0.04309563,3,acc
5.25E+13,0.06703765,-0.04070143,0.016759412,3,acc
