t,x,y,z,a,
6.43E+13,0.05267244,-0.11731588,-0.023942016,3,acc
6.43E+13,0.047884032,-0.004788403,-0.033518825,3,acc
6.43E+13,0.05267244,-0.031124622,-0.04070143,3,acc
6.43E+13,-0.045489833,0.019153614,-0.009576807,3,acc
6.43E+13,-0.04309563,-0.02633622,0.016759412,3,acc
6.43E+13,0,-0.05746084,-0.004788403,3,acc
6.43E+13,0.15083471,-0.045489833,0.004788403,3,acc
6.43E+13,0.090979666,0.09816227,-0.02873042,3,acc
6.43E+13,0.033518825,0.035913024,-0.045489833,3,acc
6.43E+13,0.009576807,0.016759412,-0.062249243,3,acc
6.43E+13,-0.07182605,0.107739076,-0.074220255,3,acc
6.43E+13,-0.02633622,0.1316811,-0.08140286,3,acc
6.43E+13,0.093373865,0.08379706,-0.095768064,3,acc
6.43E+13,0.06703765,0.12928689,-0.07182605,3,acc
6.43E+13,-0.023942016,0.08140286,-0.1316811,3,acc
6.43E+13,0.01436521,0.033518825,-0.09816227,3,acc
6.43E+13,-0.016759412,0.1436521,-0.088585466,3,acc
6.43E+13,0,0.08379706,-0.1364695,3,acc
6.43E+13,-0.004788403,0.016759412,-0.12210429,3,acc
6.43E+13,0.023942016,0.019153614,-0.10055647,3,acc
6.43E+13,0.095768064,0.007182605,-0.04070143,3,acc
6.43E+13,0.04070143,0.04070143,0.033518825,3,acc
6.43E+13,0,0.023942016,0.08140286,3,acc
6.43E+13,-0.04309563,0.06943185,-0.007182605,3,acc
6.43E+13,0.045489833,0.11252748,-0.038307227,3,acc
6.43E+13,0.038307227,0.08379706,-0.04309563,3,acc
6.43E+13,0.004788403,0.007182605,-0.04309563,3,acc
6.43E+13,0,0.06703765,0.009576807,3,acc
6.43E+13,-0.002394202,0,-0.045489833,3,acc
6.43E+13,0.04309563,0.019153614,-0.04070143,3,acc
6.43E+13,0.047884032,0.05267244,-0.06943185,3,acc
6.43E+13,0.031124622,0.023942016,-0.05746084,3,acc
6.43E+13,0,0.004788403,0,3,acc
6.43E+13,0.02873042,0.05746084,-0.06943185,3,acc
6.43E+13,0.04070143,0.088585466,-0.04309563,3,acc
6.43E+13,0.04070143,0.038307227,-0.047884032,3,acc
6.43E+13,0.06943185,0.038307227,-0.055066638,3,acc
6.43E+13,0.02873042,0.035913024,0.011971008,3,acc
6.43E+13,-0.009576807,0.05267244,0.02633622,3,acc
6.43E+13,0.016759412,0.062249243,0.033518825,3,acc
6.43E+13,0.047884032,0.016759412,-0.016759412,3,acc
6.43E+13,0.004788403,0.06464344,0.002394202,3,acc
6.43E+13,0.10055647,0.007182605,0,3,acc
6.43E+13,0.06703765,0.021547815,-0.019153614,3,acc
6.43E+13,-0.04070143,0,-0.004788403,3,acc
6.43E+13,0.033518825,0.05746084,-0.002394202,3,acc
6.43E+13,0.06464344,-0.05746084,0.021547815,3,acc
6.43E+13,0.10295067,0.035913024,-0.05746084,3,acc
6.43E+13,0.076614454,0.045489833,-0.002394202,3,acc
6.43E+13,0.019153614,0.038307227,0.007182605,3,acc
6.43E+13,0.074220255,0.095768064,0.059855044,3,acc
6.43E+13,-0.004788403,0.007182605,0.023942016,3,acc
6.43E+13,0.10055647,0.004788403,0,3,acc
6.43E+13,0.093373865,-0.038307227,0.035913024,3,acc
6.43E+13,0.076614454,-0.011971008,0.06703765,3,acc
6.43E+13,0.02873042,-0.002394202,0.023942016,3,acc
6.43E+13,0.08379706,0.02633622,0.06464344,3,acc
6.43E+13,0.08619126,-0.009576807,0.023942016,3,acc
6.43E+13,0.08379706,-0.08379706,0.090979666,3,acc
6.43E+13,0.062249243,0.004788403,0.023942016,3,acc
6.43E+13,0.110133275,-0.04070143,0.090979666,3,acc
6.43E+13,0.06943185,-0.02873042,0.1436521,3,acc
6.43E+13,0.076614454,-0.035913024,0.04309563,3,acc
6.43E+13,0.06703765,-0.08619126,0.09816227,3,acc
6.43E+13,0.093373865,-0.019153614,0.08379706,3,acc
6.43E+13,0.095768064,-0.10534488,0.14604631,3,acc
6.43E+13,0.19632454,-0.08619126,0.14844051,3,acc
6.43E+13,0.19153613,-0.19632454,0.21787235,3,acc
6.43E+13,0.2896984,-0.18435353,0.21068975,3,acc
6.43E+13,0.59136784,0,0.050278235,3,acc
6.43E+13,1.1348516,0.050278235,-0.019153614,3,acc
6.43E+13,1.697489,0.047884032,-0.1340753,3,acc
6.43E+13,1.9321208,0.45489833,-0.40222588,3,acc
6.43E+13,1.4221559,0.39983168,-0.5315128,3,acc
6.43E+13,0.9504981,0.33279404,-0.33039984,3,acc
6.43E+13,1.0773908,0.10055647,-0.110133275,3,acc
6.43E+13,1.4987702,-0.050278235,0.050278235,3,acc
6.43E+13,2.0015526,-0.05267244,0.29688102,3,acc
