a,x,y,z,a,
9.39E+13,5.523423,2.6743233,2.6743233,3,acc
9.39E+13,-0.016759412,-0.074220255,0.019153614,3,acc
9.39E+13,0.07182605,-0.047884032,0.095768064,3,acc
9.39E+13,-0.019153614,-0.095768064,0.095768064,3,acc
9.39E+13,0.090979666,-0.055066638,0.088585466,3,acc
9.39E+13,0.011971008,0.004788403,0.076614454,3,acc
9.39E+13,0.01436521,-0.01436521,0.11492168,3,acc
9.39E+13,-0.031124622,0.02633622,0.1340753,3,acc
9.39E+13,0.009576807,0.023942016,0.076614454,3,acc
9.39E+13,0.02633622,-0.04070143,0.09816227,3,acc
9.39E+13,-0.007182605,-0.016759412,0.074220255,3,acc
9.39E+13,-0.009576807,-0.050278235,0.035913024,3,acc
9.39E+13,0.05746084,-0.1388637,0.093373865,3,acc
9.39E+13,0.062249243,-0.01436521,0.019153614,3,acc
9.39E+13,-0.019153614,-0.050278235,0.06464344,3,acc
9.39E+13,-0.090979666,0.007182605,0.05267244,3,acc
9.39E+13,0.045489833,-0.04070143,0.04309563,3,acc
9.39E+13,0.019153614,-0.002394202,0.033518825,3,acc
9.39E+13,-0.007182605,0.016759412,0.045489833,3,acc
9.39E+13,-0.033518825,-0.02873042,0.062249243,3,acc
9.39E+13,-0.016759412,-0.04070143,0.021547815,3,acc
9.39E+13,0.045489833,0,0.07182605,3,acc
9.39E+13,-0.02633622,-0.02873042,0.08619126,3,acc
9.39E+13,-0.016759412,-0.035913024,0.093373865,3,acc
9.39E+13,0.002394202,-0.023942016,0.107739076,3,acc
9.39E+13,-0.004788403,0.004788403,-0.007182605,3,acc
9.39E+13,-0.031124622,0.035913024,0.07182605,3,acc
9.39E+13,0.047884032,-0.033518825,0.10055647,3,acc
9.39E+13,-0.031124622,0.002394202,0.095768064,3,acc
9.39E+13,-0.11252748,0.07182605,0.055066638,3,acc
9.39E+13,0.04309563,-0.050278235,0.019153614,3,acc
9.39E+13,0.076614454,-0.15083471,0.076614454,3,acc
9.39E+13,0.07182605,0.004788403,0.08379706,3,acc
9.39E+13,0.05267244,0.059855044,0.062249243,3,acc
9.39E+13,0.088585466,0.045489833,0.05267244,3,acc
9.39E+13,0.01436521,0.050278235,0.07182605,3,acc
9.39E+13,-0.007182605,-0.07182605,0.02633622,3,acc
9.39E+13,0.04070143,-0.10534488,0.059855044,3,acc
9.39E+13,-0.02873042,-0.045489833,0.05267244,3,acc
9.39E+13,0.04070143,-0.01436521,0.031124622,3,acc
9.39E+13,0.02633622,0.019153614,0.02873042,3,acc
9.39E+13,0.06703765,0.023942016,0.079008654,3,acc
9.39E+13,-0.02633622,-0.011971008,0.08140286,3,acc
9.39E+13,-0.033518825,0.095768064,0.093373865,3,acc
9.39E+13,-0.002394202,-0.019153614,0.055066638,3,acc
9.39E+13,0,0.004788403,0.04070143,3,acc
9.39E+13,0.021547815,0.038307227,0.050278235,3,acc
9.39E+13,0.007182605,-0.035913024,0.06464344,3,acc
9.39E+13,0.011971008,0.016759412,0.059855044,3,acc
9.39E+13,-0.009576807,-0.016759412,0.047884032,3,acc
9.39E+13,0.019153614,-0.016759412,0.062249243,3,acc
9.39E+13,0.02633622,-0.08379706,0.08619126,3,acc
9.39E+13,0.011971008,-0.062249243,0.016759412,3,acc
9.39E+13,-0.007182605,-0.095768064,0.090979666,3,acc
9.39E+13,0.035913024,0.05267244,0.055066638,3,acc
9.39E+13,-0.007182605,0.019153614,0.021547815,3,acc
9.39E+13,0.04070143,0.055066638,0.05746084,3,acc
9.39E+13,-0.002394202,-0.011971008,0.11492168,3,acc
9.39E+13,0,-0.031124622,0.04309563,3,acc
9.39E+13,-0.002394202,0.055066638,0.079008654,3,acc
9.39E+13,0.033518825,-0.055066638,0.004788403,3,acc
9.39E+13,0.06943185,-0.031124622,0.04070143,3,acc
9.39E+13,-0.02633622,0.002394202,0.10295067,3,acc
9.39E+13,0.02873042,-0.04309563,0.023942016,3,acc
9.39E+13,0.019153614,0.035913024,0.06464344,3,acc
9.39E+13,0.011971008,0.033518825,0.023942016,3,acc
9.39E+13,0.004788403,-0.06703765,0.011971008,3,acc
9.39E+13,0.009576807,-0.06703765,0.12689269,3,acc
9.39E+13,0.021547815,-0.016759412,0.10295067,3,acc
9.39E+13,0.02873042,0.045489833,0.019153614,3,acc
9.39E+13,-0.004788403,0.033518825,0.04070143,3,acc
9.39E+13,0.05746084,-0.04309563,0.08619126,3,acc
9.39E+13,-0.090979666,0.090979666,0.009576807,3,acc
9.39E+13,0.011971008,0.12928689,0.02873042,3,acc
9.39E+13,-0.047884032,-0.17477672,0.033518825,3,acc
9.39E+13,0.02633622,-0.19153613,0.12449849,3,acc
9.39E+13,0.002394202,0,0.074220255,3,acc
9.39E+13,0.031124622,0.08140286,0.019153614,3,acc
