t,x,y,z,a,
6.05E+14,-0.05746084,0.11971009,-0.09816227,3,acc
6.05E+14,0.20350714,0.15322891,-0.007182605,3,acc
6.05E+14,0.34237084,0.1388637,-0.093373865,3,acc
6.05E+14,0.33997664,0.1388637,-0.062249243,3,acc
6.05E+14,0.3184288,0.18674773,-0.04309563,3,acc
6.05E+14,0.30406362,0.031124622,0.021547815,3,acc
6.05E+14,0.25617957,0.10534488,-0.06703765,3,acc
6.05E+14,0.4237737,0.088585466,-0.02873042,3,acc
6.05E+14,0.5410896,0.1316811,-0.05746084,3,acc
6.05E+14,0.60094464,0.12928689,-0.095768064,3,acc
6.05E+14,0.7182605,0.20350714,-0.10055647,3,acc
6.05E+14,0.7182605,0.15322891,-0.12689269,3,acc
6.05E+14,0.3878607,0.038307227,-0.15083471,3,acc
6.05E+14,0.12210429,-0.019153614,-0.17477672,3,acc
6.05E+14,-0.011971008,-0.08379706,-0.107739076,3,acc
6.05E+14,-0.088585466,-0.17956513,-0.10055647,3,acc
6.05E+14,-0.07182605,-0.21068975,-0.021547815,3,acc
6.05E+14,-0.24420857,-0.21068975,-0.08619126,3,acc
6.05E+14,-0.4309563,-0.22505496,-0.110133275,3,acc
6.05E+14,-0.7158663,-0.33039984,-0.08619126,3,acc
6.05E+14,-0.81881696,-0.22026655,-0.038307227,3,acc
6.05E+14,-0.6368576,-0.34715924,0.002394202,3,acc
6.05E+14,-0.36152446,-0.22984336,0.05746084,3,acc
6.05E+14,-0.19632454,-0.2801216,0.1340753,3,acc
6.05E+14,0.1364695,-0.24660277,0.23463176,3,acc
6.05E+14,0.15322891,-0.23223756,0.37110126,3,acc
6.05E+14,0.3854665,-0.1364695,0.30406362,3,acc
6.05E+14,0.33997664,-0.10295067,0.2753332,3,acc
6.05E+14,0.23702596,-0.11731588,0.25378537,3,acc
6.05E+14,0.20111294,0,0.18674773,3,acc
6.05E+14,0.2633622,0.07182605,0.088585466,3,acc
6.05E+14,0.33997664,0.3184288,0,3,acc
6.05E+14,0.46208093,0.320823,-0.15801731,3,acc
6.05E+14,0.641646,0.49081135,-0.260968,3,acc
6.05E+14,0.91219085,0.5746084,-0.37588966,3,acc
6.05E+14,1.2904748,0.49081135,-0.35434186,3,acc
6.05E+14,1.5514427,0.5434838,-0.45968673,3,acc
6.05E+14,1.5777789,0.50278234,-0.5554548,3,acc
6.05E+14,1.508347,0.5530606,-0.45489833,3,acc
6.05E+14,1.4556746,0.59615624,-0.50278234,3,acc
6.05E+14,1.1827357,0.6991069,-0.60333884,3,acc
6.05E+14,0.8451532,0.80445176,-0.78769237,3,acc
6.05E+14,0.581791,0.7182605,-0.8762778,3,acc
6.05E+14,0.7206547,0.7637503,-0.8331822,3,acc
6.05E+14,0.9959879,0.8595184,-0.79966336,3,acc
