t,x,y,z,a,
6.44E+13,-0.06703765,-0.007182605,0.023942016,3,acc
6.44E+13,0.1364695,0.10295067,0.01436521,3,acc
6.44E+13,0.1388637,0.17238252,-0.002394202,3,acc
6.44E+13,0.016759412,0.10055647,0.038307227,3,acc
6.44E+13,0.007182605,-0.031124622,0.055066638,3,acc
6.44E+13,-0.016759412,0.01436521,0.035913024,3,acc
6.44E+13,-0.047884032,0.004788403,-0.033518825,3,acc
6.44E+13,-0.019153614,0.016759412,-0.02873042,3,acc
6.44E+13,-0.088585466,0.009576807,0.016759412,3,acc
6.44E+13,0.045489833,0,0.05746084,3,acc
6.44E+13,0.090979666,0.076614454,-0.016759412,3,acc
6.44E+13,0.11252748,0.031124622,-0.035913024,3,acc
6.44E+13,-0.002394202,0.019153614,-0.002394202,3,acc
6.44E+13,0.023942016,-0.023942016,-0.059855044,3,acc
6.44E+13,0.02873042,-0.08379706,0.004788403,3,acc
6.44E+13,0.074220255,-0.059855044,-0.021547815,3,acc
6.44E+13,0.10295067,-0.050278235,0,3,acc
6.44E+13,0.07182605,-0.019153614,0.023942016,3,acc
6.44E+13,0.050278235,0,-0.038307227,3,acc
6.44E+13,0.088585466,0.035913024,-0.050278235,3,acc
6.44E+13,0.04309563,-0.02873042,-0.031124622,3,acc
6.44E+13,0.05267244,-0.011971008,0.04070143,3,acc
6.44E+13,-0.002394202,0.06703765,-0.050278235,3,acc
6.44E+13,0.06464344,0.06943185,0.04309563,3,acc
6.44E+13,0.06464344,0.08140286,-0.023942016,3,acc
6.44E+13,0.06943185,0.110133275,-0.002394202,3,acc
6.44E+13,0.016759412,0.02873042,0.004788403,3,acc
6.44E+13,-0.02633622,-0.004788403,0.021547815,3,acc
6.44E+13,-0.095768064,0.019153614,0.055066638,3,acc
6.44E+13,0.047884032,0.035913024,-0.01436521,3,acc
6.44E+13,0.1340753,0.02873042,0.002394202,3,acc
6.44E+13,0.06703765,0.011971008,-0.011971008,3,acc
6.44E+13,-0.016759412,-0.016759412,0.035913024,3,acc
6.44E+13,0.06464344,-0.023942016,0.007182605,3,acc
6.44E+13,-0.050278235,0.04070143,-0.10534488,3,acc
6.44E+13,-0.007182605,-0.02633622,-0.10534488,3,acc
6.44E+13,0,-0.035913024,-0.10055647,3,acc
6.44E+13,0.02633622,0.038307227,-0.04309563,3,acc
6.44E+13,0.076614454,0.023942016,-0.031124622,3,acc
6.44E+13,0.090979666,-0.007182605,-0.06943185,3,acc
6.44E+13,0.04309563,0.047884032,-0.06464344,3,acc
6.44E+13,0.02873042,0.047884032,0.01436521,3,acc
6.44E+13,0.074220255,0.033518825,-0.035913024,3,acc
6.44E+13,0.05746084,0.088585466,-0.035913024,3,acc
6.44E+13,-0.08619126,0.035913024,-0.090979666,3,acc
6.44E+13,-0.016759412,0.02873042,-0.023942016,3,acc
6.44E+13,0.04070143,-0.019153614,-0.021547815,3,acc
6.44E+13,0.076614454,0.11492168,-0.023942016,3,acc
6.44E+13,0.011971008,0.11252748,-0.11971009,3,acc
6.44E+13,0.110133275,0.12928689,-0.050278235,3,acc
6.44E+13,0.02873042,0.059855044,-0.002394202,3,acc
6.44E+13,-0.02633622,0.002394202,-0.023942016,3,acc
6.44E+13,0.045489833,0.016759412,-0.045489833,3,acc
6.44E+13,0.059855044,0.007182605,-0.038307227,3,acc
6.44E+13,0.10534488,0.04070143,-0.038307227,3,acc
6.44E+13,0.033518825,0.01436521,-0.01436521,3,acc
6.44E+13,0.007182605,-0.045489833,0.059855044,3,acc
6.44E+13,0.023942016,0,0.035913024,3,acc
6.44E+13,0.10534488,-0.002394202,0.055066638,3,acc
6.44E+13,0.19393034,0.002394202,0.021547815,3,acc
6.44E+13,0.06703765,-0.004788403,0.050278235,3,acc
6.44E+13,0.06464344,0.004788403,0.079008654,3,acc
6.44E+13,0.04070143,-0.095768064,0.074220255,3,acc
6.44E+13,0.06703765,-0.05267244,-0.031124622,3,acc
6.44E+13,0.055066638,-0.10295067,-0.047884032,3,acc
6.44E+13,0.01436521,-0.007182605,-0.110133275,3,acc
6.44E+13,0.095768064,0.016759412,0,3,acc
6.44E+13,0.21787235,-0.01436521,0.23463176,3,acc
6.44E+13,0.21547815,-0.08379706,0.48123455,3,acc
6.44E+13,0.2633622,-0.30406362,0.7493851,3,acc
6.44E+13,0.6967127,-0.56982,1.5298948,3,acc
6.44E+13,0.16519992,-0.7158663,1.9057846,3,acc
6.44E+13,-0.15322891,-0.91697925,2.1906946,3,acc
6.44E+13,-0.37828386,-0.35673606,1.7932571,3,acc
6.44E+13,-0.533907,-0.34237084,1.5035586,3,acc
6.44E+13,-0.45729253,-1.0223241,1.3383588,3,acc
6.44E+13,-0.48841715,-1.30484,1.0342951,3,acc
6.44E+13,-0.5722142,-1.1659763,0.7206547,3,acc
6.44E+13,-0.6967127,-1.3982137,0.58418524,3,acc
6.44E+13,-0.5674258,-1.5059528,0.41180268,3,acc
6.44E+13,-0.7015011,-1.8315643,-0.07182605,3,acc
6.44E+13,-0.6607997,-2.0207062,-0.4165911,3,acc
6.44E+13,-0.5554548,-2.2266076,-0.48362875,3,acc
6.44E+13,-0.6703765,-2.2337902,-0.6392518,3,acc
6.44E+13,-0.7350199,-2.372654,-1.1947067,3,acc
6.44E+13,-0.866701,-2.7030537,-1.4389153,3,acc
6.44E+13,-0.9816227,-2.9496565,-1.4317327,3,acc
6.44E+13,-1.1779473,-2.8898015,-1.6160861,3,acc
6.44E+13,-1.1899183,-3.0909145,-2.1045034,3,acc
6.44E+13,-1.3982137,-3.6703112,-2.1021092,3,acc
6.44E+13,-1.5298948,-4.1491513,-2.2337902,3,acc
6.44E+13,-1.7501614,-4.572925,-2.4037786,3,acc
6.44E+13,-2.2577322,-4.27365,-2.4109612,3,acc
6.44E+13,-2.360683,-4.122815,-3.0621839,3,acc
6.44E+13,-2.5881321,-4.1539397,-3.2082303,3,acc
6.44E+13,-2.3822308,-4.096479,-3.2992098,3,acc
6.44E+13,-2.621651,-4.06296,-3.028665,3,acc
6.44E+13,-2.348712,-3.5745432,-2.7940333,3,acc
6.44E+13,-2.3989902,-2.4253263,-2.870648,3,acc
6.44E+13,-2.4492683,-1.7070658,-3.0238767,3,acc
6.44E+13,-2.870648,-0.8595184,-2.9161377,3,acc
6.44E+13,-3.2082303,-0.40701428,-2.5833437,3,acc
6.44E+13,-3.2872388,0.7565677,-2.3295584,3,acc
6.44E+13,-3.122039,1.4221559,-2.384625,3,acc
6.44E+13,-3.442862,1.7118542,-2.0638018,3,acc
6.44E+13,-3.550601,1.4772224,-1.8363527,3,acc
6.44E+13,-3.53863,1.4939818,-1.70946,3,acc
6.44E+13,-3.4835634,2.396596,-1.3934253,3,acc
6.44E+13,-3.5817258,1.6424223,-1.1204864,3,acc
6.44E+13,-3.7325604,1.472434,-0.31124622,3,acc
6.44E+13,-2.9400797,1.7046716,-0.23463176,3,acc
6.44E+13,-2.7724855,2.078167,-1.0726024,3,acc
6.44E+13,-2.384625,1.8028339,-0.60094464,3,acc
6.44E+13,-2.621651,1.8387469,0.31124622,3,acc
6.44E+13,-1.9416976,1.6831238,0.89543146,3,acc
6.44E+13,-1.6567876,2.954445,0.29448682,3,acc
6.44E+13,-1.6472107,2.6024973,-0.40940848,3,acc
6.44E+13,-1.4748282,1.0295067,-0.07182605,3,acc
6.44E+13,-0.17238252,-0.33279404,0.36870706,3,acc
6.44E+13,0.095768064,-0.7565677,1.7046716,3,acc
6.44E+13,0.1604115,-0.8858546,2.4612393,3,acc
6.44E+13,-0.5410896,-0.9792285,2.408567,3,acc
6.44E+13,-0.4429273,2.8562827,2.6144683,3,acc
6.44E+13,-0.088585466,0.07182605,1.1731589,3,acc
6.44E+13,1.3263878,-0.8331822,-0.5530606,3,acc
6.44E+13,1.2258313,-0.9528923,-1.8770541,3,acc
6.44E+13,0.581791,0.29688102,-1.7597382,3,acc
6.44E+13,0.25857377,1.3024458,-0.9672575,3,acc
6.44E+13,-0.31364042,2.2457612,-1.7908629,3,acc
6.44E+13,-0.062249243,1.2018893,-1.7286136,3,acc
6.44E+13,0.8595184,0.023942016,-1.484405,3,acc
6.44E+13,0.33279404,0.17956513,-0.5722142,3,acc
6.44E+13,-0.33758244,1.5275006,0.49081135,3,acc
6.44E+13,-0.92416185,1.3718776,-0.37349546,3,acc
6.44E+13,-1.9177556,0.6679823,-0.023942016,3,acc
6.44E+13,-2.315193,0.7182605,-0.23223756,3,acc
6.44E+13,-2.054225,-0.22026655,-1.0366893,3,acc
6.44E+13,-0.7541735,-1.2617443,-1.8052281,3,acc
6.44E+13,0.16998832,0.19153613,-1.958457,3,acc
6.44E+13,-0.12449849,0.90500826,-1.7262194,3,acc
6.44E+13,-0.81163436,1.2904748,-0.093373865,3,acc
6.44E+13,-1.4772224,1.3072342,1.9895816,3,acc
6.44E+13,-2.384625,0.82360536,3.4237084,3,acc
6.44E+13,-2.789245,0.40701428,2.9233203,3,acc
6.44E+13,-3.2010477,1.3192052,1.9512744,3,acc
6.44E+13,-2.885013,1.7525556,1.0486604,3,acc
6.44E+13,-2.693477,2.111686,1.2210429,3,acc
6.44E+13,-2.468422,1.5179238,1.151611,3,acc
6.44E+13,-1.8818425,3.3877954,2.0374656,3,acc
