t,x,y,z,a,
9.19E+13,-2.1428106,0.33279404,-4.2760444,3,acc
9.19E+13,-0.06464344,-0.031124622,0.009576807,3,acc
9.19E+13,-0.10295067,-0.08379706,-0.045489833,3,acc
9.19E+13,-0.17238252,-0.11731588,-0.035913024,3,acc
9.19E+13,-0.04309563,-0.055066638,-0.007182605,3,acc
9.19E+13,-0.074220255,-0.090979666,-0.04309563,3,acc
9.19E+13,-0.06943185,-0.08619126,-0.074220255,3,acc
9.19E+13,-0.01436521,-0.08140286,-0.076614454,3,acc
9.19E+13,-0.04309563,-0.08619126,-0.02633622,3,acc
9.19E+13,0.05746084,-0.019153614,-0.007182605,3,acc
9.19E+13,0.11971009,-0.107739076,-0.02873042,3,acc
9.19E+13,0.06943185,0.009576807,-0.093373865,3,acc
9.19E+13,0.016759412,0.002394202,0.019153614,3,acc
9.19E+13,0.04309563,0.019153614,0.06943185,3,acc
9.19E+13,0.10055647,0.011971008,0.011971008,3,acc
9.19E+13,0.08140286,0.045489833,-0.045489833,3,acc
9.19E+13,-0.1388637,0.107739076,-0.059855044,3,acc
9.19E+13,-0.21547815,0.11971009,0.062249243,3,acc
9.19E+13,0.02873042,0.079008654,0.08379706,3,acc
9.19E+13,-0.08619126,0.1604115,0.01436521,3,acc
9.19E+13,-0.095768064,0.24660277,0.059855044,3,acc
9.19E+13,-0.045489833,0.30885202,0.07182605,3,acc
9.19E+13,-0.055066638,0.29209262,0.08379706,3,acc
9.19E+13,-0.10055647,0.22266077,0.088585466,3,acc
9.19E+13,0.01436521,0.25857377,0.062249243,3,acc
9.19E+13,0.08379706,0.1388637,-0.045489833,3,acc
9.19E+13,0.019153614,0.11252748,-0.079008654,3,acc
9.19E+13,0.079008654,0.12689269,-0.031124622,3,acc
9.19E+13,-0.009576807,0.079008654,-0.076614454,3,acc
9.19E+13,-0.06943185,0.1340753,-0.1340753,3,acc
9.19E+13,-0.06943185,0.17477672,-0.14604631,3,acc
9.19E+13,0.016759412,0.04309563,-0.16519992,3,acc
9.19E+13,0.047884032,0.10055647,-0.12449849,3,acc
9.19E+13,0.14604631,0.088585466,-0.15562311,3,acc
9.19E+13,0.19153613,0.10534488,-0.088585466,3,acc
9.19E+13,0.23463176,0.074220255,-0.12928689,3,acc
9.19E+13,0.1388637,0.11731588,-0.1316811,3,acc
9.19E+13,0.04070143,0.033518825,-0.11731588,3,acc
9.19E+13,0.20590134,0.047884032,0.004788403,3,acc
9.19E+13,0.016759412,0.088585466,-0.016759412,3,acc
9.19E+13,0.08379706,0.06703765,-0.031124622,3,acc
9.19E+13,0.09816227,0.045489833,0.033518825,3,acc
9.19E+13,0.10295067,-0.08140286,0.11252748,3,acc
9.19E+13,0.10055647,-0.15562311,0.095768064,3,acc
9.19E+13,0.093373865,-0.1388637,0.06943185,3,acc
9.19E+13,0.1604115,-0.10534488,0.11252748,3,acc
9.19E+13,0.059855044,-0.17717093,0.107739076,3,acc
9.19E+13,0.035913024,-0.10055647,0.17956513,3,acc
9.19E+13,0.08379706,-0.090979666,0.076614454,3,acc
9.19E+13,0.05267244,-0.14844051,0,3,acc
9.19E+13,0.10534488,-0.1340753,0.02873042,3,acc
9.19E+13,-0.009576807,-0.059855044,-0.002394202,3,acc
9.19E+13,0.090979666,-0.17956513,0.04309563,3,acc
9.19E+13,0.12449849,-0.093373865,0,3,acc
9.19E+13,0.06464344,-0.14844051,0.009576807,3,acc
9.19E+13,0.08140286,-0.08619126,0,3,acc
9.19E+13,0.038307227,-0.004788403,-0.050278235,3,acc
9.19E+13,0.050278235,-0.047884032,0.033518825,3,acc
9.19E+13,0.24181437,-0.033518825,0.090979666,3,acc
9.19E+13,0.18435353,-0.035913024,-0.038307227,3,acc
9.19E+13,0.050278235,0.02633622,-0.02633622,3,acc
9.19E+13,0.11252748,-0.01436521,-0.004788403,3,acc
9.19E+13,0.045489833,0.023942016,0.016759412,3,acc
9.19E+13,-0.002394202,-0.095768064,0.023942016,3,acc
9.19E+13,0.05746084,-0.011971008,0.033518825,3,acc
9.19E+13,0.06943185,-0.019153614,-0.05746084,3,acc
9.19E+13,0.047884032,-0.038307227,0.023942016,3,acc
9.19E+13,0.06464344,0,0.050278235,3,acc
9.19E+13,0.035913024,0.02873042,-0.033518825,3,acc
9.19E+13,0.04309563,0,-0.02633622,3,acc
9.19E+13,0.038307227,0.08379706,-0.090979666,3,acc
9.19E+13,0.059855044,0.107739076,-0.055066638,3,acc
9.19E+13,0.10295067,-0.04309563,-0.088585466,3,acc
9.19E+13,0.107739076,0.021547815,0.023942016,3,acc
9.19E+13,0.095768064,0.05267244,-0.05746084,3,acc
9.19E+13,0.011971008,0.076614454,-0.038307227,3,acc
9.19E+13,0.011971008,0.035913024,-0.12689269,3,acc
9.19E+13,-0.08619126,0.093373865,-0.04309563,3,acc
9.19E+13,0.016759412,0.10534488,-0.002394202,3,acc
9.19E+13,0.22505496,0.045489833,-0.019153614,3,acc
9.19E+13,0.093373865,0.059855044,-0.016759412,3,acc
9.19E+13,0.18674773,0.002394202,-0.011971008,3,acc
9.19E+13,0.007182605,0,-0.009576807,3,acc
9.19E+13,-0.059855044,0.002394202,-0.07182605,3,acc
9.19E+13,-0.021547815,-0.01436521,-0.05267244,3,acc
9.19E+13,0.050278235,-0.05746084,-0.1340753,3,acc
9.19E+13,0.095768064,-0.011971008,-0.047884032,3,acc
9.19E+13,0.15322891,0.009576807,0,3,acc
9.19E+13,0.1388637,0.009576807,0.016759412,3,acc
9.19E+13,0.02633622,-0.004788403,0.002394202,3,acc
9.19E+13,0.10055647,0.004788403,-0.007182605,3,acc
9.19E+13,0.08619126,-0.093373865,-0.016759412,3,acc
9.19E+13,0.035913024,-0.019153614,0.035913024,3,acc
9.19E+13,0.04309563,-0.09816227,0.059855044,3,acc
9.19E+13,0.055066638,-0.05746084,0.05267244,3,acc
9.19E+13,0.10055647,0.05267244,0.023942016,3,acc
9.19E+13,0.02873042,-0.007182605,0.038307227,3,acc
9.19E+13,-0.06943185,-0.05746084,0.062249243,3,acc
9.19E+13,0.04070143,-0.062249243,0.02633622,3,acc
9.19E+13,0.09816227,-0.06703765,0.035913024,3,acc
9.19E+13,0.107739076,-0.002394202,-0.021547815,3,acc
9.19E+13,0.20829555,0.009576807,0.01436521,3,acc
9.19E+13,0.050278235,0.031124622,0.06464344,3,acc
9.19E+13,-0.06943185,-0.079008654,0.023942016,3,acc
9.19E+13,0.016759412,-0.076614454,-0.02633622,3,acc
9.19E+13,-0.035913024,-0.074220255,-0.035913024,3,acc
9.19E+13,-0.02873042,0.023942016,0.045489833,3,acc
9.19E+13,0.031124622,0.06464344,-0.009576807,3,acc
9.19E+13,-0.01436521,0.1412579,-0.02633622,3,acc
9.19E+13,0.01436521,0.047884032,-0.021547815,3,acc
9.19E+13,0.10295067,0.16998832,-0.05746084,3,acc
9.19E+13,0.09816227,0.14844051,-0.016759412,3,acc
9.19E+13,0.05746084,0.074220255,-0.06464344,3,acc
9.19E+13,0.11731588,0,0,3,acc
